Id,Importance
0,0.0
1,0.04325557080973215
2,0.004362456111112431
3,9.884787467461312E-4
4,-0.018322343994605722
5,0.03813012734089861
6,-0.01430671201251149
7,0.0032265114015678255
8,-0.023776155525264825
9,-0.02270645376764984
10,-0.023776155525264825
11,-0.023776155525264825
12,-0.027002666926832654
13,-0.02041401668795602
14,-0.025154531510870992
15,-0.018565881271994357
16,0.006588650238876635
17,-0.00877416660443335
18,-0.01951698626578196
19,-0.024559401682398223
20,0.024699470184157402
21,-0.008809496641103034
22,0.11372367281635085
23,0.13444947270298888
24,-0.023943905977630305
25,-0.016140155106032075
26,0.007180603015941315
27,-0.013472592849770414
28,-0.0045852774626580495
29,0.001329155260932035
30,-0.024563050489549175
31,-0.008854106907781448
32,-0.020738244812549732
33,-0.017044702676648392
34,0.008791452699160564
35,0.004564880597703476
36,0.011403584755943982
37,0.011403584755943982
38,-0.020985526090174456
39,-0.01671770412046144
40,-0.02452005330606407
41,-6.73652802098963E-4
42,-0.015398146879979669
43,-0.015398146879979669
44,0.0883987188652536
