Id,Importance
0,-0.0759950997537657
1,0.08218579463664565
2,0.16184014823693607
3,-0.04825203329541132
4,-0.09055092039709685
5,-0.0030558012197553427
6,-0.036948875440162975
7,-0.0579985449375978
8,-0.07048520773046595
9,-0.019544543525182215
10,-0.01599355433297901
11,-0.001243894641746457
12,-0.036948875440162975
13,0.07653710649699519
14,0.14808666313422486
15,-0.04693014664185191
16,-0.025733759591679325
17,-0.005767635089812179
18,-0.03536237984862314
19,0.10214690985661583
20,-0.026592403258671994
21,-0.009334923567588254
22,0.03594197635113591
