Id,Importance
0,0.0464796977475483
1,0.014624767692665207
2,-0.1705775603166707
3,-0.028697222062580723
4,-0.02014723358081323
5,0.056643289052296555
6,0.027401962538258474
7,0.024712693267615164
8,0.0
9,0.029563802971677697
10,7.768233883697309E-4
11,-0.06299630538120918
12,0.07486609167950287
13,0.004528633246422925
14,-0.013078621728190415
15,-0.14560867084491508
16,0.01432334081006806
17,0.04982298182611447
18,-0.026446224953867968
19,0.011294346225420603
20,-0.002701848093211376
21,0.02178750767172289
22,-0.04997559470246366
23,0.06668723634149114
24,0.07671610720474811
